,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
501,The Hobbit: The Battle of the Five Armies,2014-12-10,17 Dec 2014,250000000.0,956019788.0,187747747.0,Action,PG-13,144.0,59.0,7.4,"N1O, ++7,51",Warner Bros.,7.0,51.0,N,1
502,Captain America: The Winter Soldier,2014-03-20,04 Apr 2014,170000000.0,714766572.0,228636083.0,Action,PG-13,136.0,70.0,7.8,"N1O, ++5,50",Walt Disney Pictures,5.0,50.0,N,1
503,Dawn of the Planet of the Apes,2014-06-26,11 Jul 2014,170000000.0,710644566.0,183278877.0,Science Fiction,PG-13,130.0,79.0,7.6,"N1O, ++16,47",20th Century Fox,16.0,47.0,N,1
504,X-Men: Days of Future Past,2014-05-15,23 May 2014,250000000.0,747862775.0,199305306.0,Action,PG-13,132.0,75.0,8.0,"N1O, ++15,47",20th Century Fox,15.0,47.0,N,1
505,Nightcrawler,2014-10-23,31 Oct 2014,8500000.0,50300000.0,0.0,Crime,R,117.0,76.0,7.9,"N1O, ++43,120",Open Road Films,43.0,120.0,N,1
506,Sing Your Song,2012-01-13,14 Apr 2012,0.0,29110.0,47718.0,Documentary,NOT RATED,103.0,73.0,7.5,"3,2",S2BN Films,0.0,2.0,,3
507,Busy Bodies,1933-10-07,07 Oct 1933,0.0,0.0,0.0,Comedy,APPROVED,19.0,,7.9,"0, 0, 0, 0,",Hal Roach Studios,0.0,,,0
508,Driven,2001-04-27,27 Apr 2001,94000000.0,54744738.0,0.0,Action,PG-13,116.0,29.0,4.6,"++1,10",Warner Bros. Pictures,0.0,10.0,,1
509,Anomalisa,2015-12-30,11 Mar 2016,8000000.0,5659286.0,0.0,Animation,R,90.0,88.0,7.3,"N1O, ++24,72",Starburns Industries,24.0,72.0,N,1
510,Inside Out,2015-06-09,19 Jun 2015,175000000.0,857611174.0,264317903.0,Drama,PG,95.0,94.0,8.2,"W1O, ++93,112",Disney/Pixar,93.0,112.0,W,1
511,Shaun the Sheep Movie,2015-02-05,05 Aug 2015,0.0,59700000.0,0.0,Family,PG,85.0,81.0,7.4,"N1O, ++4,48",Lionsgate,4.0,48.0,N,1
